,predicted_mean
2019-10-01,96.45424880786656
2019-11-01,93.8093575746518
2019-12-01,103.90110226748604
2020-01-01,110.0684495066668
2020-02-01,100.98878955614775
2020-03-01,96.46070563760688
2020-04-01,90.27766682842905
2020-05-01,96.57932145229773
2020-06-01,111.42745434154523
2020-07-01,123.1264576816695
2020-08-01,122.35275276744481
2020-09-01,109.23387472765968
2020-10-01,96.42578207109713
2020-11-01,94.12545597837028
2020-12-01,104.5493747029001
2021-01-01,110.89936726513649
2021-02-01,101.70967682377726
2021-03-01,97.1168597474733
2021-04-01,90.84190165143904
2021-05-01,97.2294719402549
2021-06-01,112.2979860795089
2021-07-01,124.18205997780595
2021-08-01,123.39533860629378
2021-09-01,110.0689391197584
